serial,firstoccurrence,lastoccurrence,deletedat,zprocessstate,zticketstate,zhnotifystate,zgenericactionstate,originalseverity,mins,zprocessstate_t,zhnotifystate_t,zgenericactionstate_t,zticketstate_t,live_range,Cluster,zprocessstate_s,zhnotifystate_s,zgenericactionstate_s,zticketstate_s,ProblematicArea
65886078,2020-07-27-05.47.08.000000,2020-07-27 05:47:08.000,2020-07-27 08:03:00.758,12.0,1,0,312,4,135.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65886098,2020-07-27-05.48.50.000000,2020-07-27 05:48:50.000,2020-07-27 10:16:02.843,12.0,1,0,312,4,267.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,240 - 480 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65886137,2020-07-27-05.53.18.000000,2020-07-27 05:53:18.000,2020-07-27 09:03:01.360,12.0,1,0,312,4,189.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65886146,2020-07-27-05.53.50.000000,2020-07-27 05:53:50.000,2020-07-27 09:03:01.360,12.0,1,0,312,4,189.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65886143,2020-07-27-05.53.50.000000,2020-07-27 05:53:50.000,2020-07-27 10:16:02.842,12.0,1,0,312,4,262.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,240 - 480 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65886144,2020-07-27-05.53.50.000000,2020-07-27 05:53:50.000,2020-07-27 10:16:02.843,12.0,1,0,312,4,262.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,240 - 480 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65886145,2020-07-27-05.53.50.000000,2020-07-27 05:53:50.000,2020-07-27 10:16:02.842,12.0,1,0,312,4,262.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,240 - 480 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65886141,2020-07-27-05.53.50.000000,2020-07-27 05:53:50.000,2020-07-27 09:03:01.360,12.0,1,0,312,4,189.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65886147,2020-07-27-05.53.50.000000,2020-07-27 05:53:50.000,2020-07-27 09:03:01.360,12.0,1,0,312,4,189.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65886142,2020-07-27-05.53.50.000000,2020-07-27 05:53:50.000,2020-07-27 09:03:01.360,12.0,1,0,312,4,189.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65887282,2020-07-27-07.46.18.000000,2020-07-27 07:46:18.000,2020-07-27 08:46:01.092,12.0,1,0,312,4,59.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,30-60 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65887287,2020-07-27-07.47.13.000000,2020-07-27 07:47:13.000,2020-07-30 08:23:07.748,12.0,1,0,312,3,4355.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65887460,2020-07-27-08.05.16.000000,2020-07-28 04:00:36.000,2020-07-28 04:05:19.508,12.0,1,0,312,3,4.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,Less than 30 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65904905,2020-07-28-04.01.06.000000,2020-07-28 04:01:06.000,2020-07-29 08:26:45.856,12.0,1,0,312,4,1705.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,960 - 1920 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65888135,2020-07-27-09.08.15.000000,2020-07-29 09:14:32.000,2020-07-30 20:13:19.323,12.0,1,0,312,4,2098.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,1920 - 3840 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65888133,2020-07-27-09.08.13.000000,2020-07-29 09:15:44.000,2020-07-30 20:13:19.324,12.0,1,0,312,4,2097.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,1920 - 3840 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65889748,2020-07-27-11.38.20.000000,2020-07-28 04:01:33.000,2020-07-28 04:05:19.508,2.0,1,5,312,4,3.0,AutomationFilter Processed,Failed,Final Response Successfully ESCALATED,Needed,Less than 30 mins,-1,neutral,negative,Positive,neutral,n-autoticket:ne-notification:n-enrichment:
65889749,2020-07-27-11.38.20.000000,2020-07-28 04:01:40.000,2020-07-28 04:05:19.508,2.0,1,0,312,4,3.0,AutomationFilter Processed,None,Final Response Successfully ESCALATED,Needed,Less than 30 mins,-1,neutral,neutral,Positive,neutral,n-autoticket:n-notification:n-enrichment:
65889750,2020-07-27-11.38.20.000000,2020-07-28 04:01:48.000,2020-07-28 04:05:19.508,2.0,1,0,312,4,3.0,AutomationFilter Processed,None,Final Response Successfully ESCALATED,Needed,Less than 30 mins,-1,neutral,neutral,Positive,neutral,n-autoticket:n-notification:n-enrichment:
65890244,2020-07-27-12.19.37.000000,2020-07-27 12:19:37.000,2020-07-27 16:23:08.633,12.0,1,0,312,4,243.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,240 - 480 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
